Product,Date,Region,Units Sold,Unit Cost,Unit Price,Revenue,Profit,Year,Month,Quarter
Toy SKU 29,2022-02-19,C,62,13.33,14.43,894.66,68.19999999999993,2022,2,1
Toy SKU 16,2022-02-20,A,71,13.92,38.43,2728.53,1740.21,2022,2,1
Toy SKU 14,2022-02-21,A,166,12.85,38.48,6387.679999999999,4254.58,2022,2,1
Toy SKU 04,2022-02-22,B,107,11.61,30.83,3298.81,2056.54,2022,2,1
Toy SKU 10,2022-02-23,B,87,4.49,33.64,2926.68,2536.0499999999997,2022,2,1
Toy SKU 12,2022-02-24,A,9,6.03,13.05,117.45,63.18,2022,2,1
Toy SKU 29,2022-02-25,A,184,5.11,14.92,2745.28,1805.0400000000002,2022,2,1
Toy SKU 12,2022-02-26,B,160,5.56,19.24,3078.3999999999996,2188.7999999999997,2022,2,1
Toy SKU 27,2022-02-27,C,172,13.7,25.52,4389.44,2033.0399999999995,2022,2,1
Toy SKU 14,2022-02-28,A,206,5.91,13.35,2750.1,1532.6399999999999,2022,2,1
Toy SKU 01,2022-03-01,A,151,4.78,25.71,3882.21,3160.43,2022,3,1
Toy SKU 28,2022-03-02,C,170,5.6,35.54,6041.8,5089.8,2022,3,1
Toy SKU 18,2022-03-03,A,159,11.26,13.32,2117.88,327.5400000000002,2022,3,1
Toy SKU 14,2022-03-04,A,128,7.67,18.93,2423.04,1441.28,2022,3,1
Toy SKU 28,2022-03-05,A,111,10.46,40.54,4499.94,3338.879999999999,2022,3,1
Toy SKU 16,2022-03-06,A,211,3.76,27.32,5764.52,4971.160000000001,2022,3,1
Toy SKU 28,2022-03-07,A,142,4.61,13.63,1935.46,1280.8400000000001,2022,3,1
Toy SKU 23,2022-03-08,B,9,9.76,39.79,358.11,270.27,2022,3,1
Toy SKU 29,2022-03-09,C,178,8.41,34.9,6212.2,4715.219999999999,2022,3,1
Toy SKU 26,2022-03-10,A,148,12.21,35.29,5222.92,3415.84,2022,3,1
Toy SKU 04,2022-03-11,B,57,9.07,29.0,1653.0,1136.01,2022,3,1
Toy SKU 28,2022-03-12,C,167,7.83,21.35,3565.4500000000003,2257.84,2022,3,1
Toy SKU 19,2022-03-13,C,98,10.35,37.63,3687.7400000000002,2673.4400000000005,2022,3,1
Toy SKU 09,2022-03-14,B,120,5.98,33.62,4034.3999999999996,3316.7999999999997,2022,3,1
Toy SKU 08,2022-03-15,C,181,4.61,11.2,2027.1999999999998,1192.7899999999997,2022,3,1
Toy SKU 15,2022-03-16,B,83,12.16,19.24,1596.9199999999998,587.6399999999999,2022,3,1
Toy SKU 05,2022-03-17,C,38,13.17,14.46,549.48,49.02000000000004,2022,3,1
Toy SKU 05,2022-03-18,A,130,4.71,9.7,1261.0,648.7,2022,3,1
Toy SKU 05,2022-03-19,C,19,5.33,10.76,204.44,103.17,2022,3,1
Toy SKU 13,2022-03-20,B,117,7.63,19.49,2280.33,1387.62,2022,3,1
Toy SKU 21,2022-03-21,C,114,12.69,37.09,4228.26,2781.6000000000004,2022,3,1
Toy SKU 17,2022-03-22,A,112,5.99,17.23,1929.76,1258.88,2022,3,1
Toy SKU 06,2022-03-23,B,129,7.87,10.63,1371.2700000000002,356.0400000000002,2022,3,1
Toy SKU 01,2022-03-24,B,204,4.57,36.5,7446.0,6513.72,2022,3,1
Toy SKU 16,2022-03-25,A,19,13.21,12.27,233.13,-17.860000000000014,2022,3,1
Toy SKU 26,2022-03-26,C,177,13.79,35.47,6278.19,3837.3599999999997,2022,3,1
Toy SKU 28,2022-03-27,B,173,10.25,34.71,6004.83,4231.58,2022,3,1
Toy SKU 23,2022-03-28,A,183,8.9,37.3,6825.9,5197.2,2022,3,1
Toy SKU 17,2022-03-29,C,106,7.54,30.11,3191.66,2392.42,2022,3,1
Toy SKU 08,2022-03-30,A,20,8.52,22.76,455.20000000000005,284.80000000000007,2022,3,1
Toy SKU 05,2022-03-31,B,57,7.36,21.09,1202.1299999999999,782.6099999999999,2022,3,1
Toy SKU 23,2022-04-01,A,99,10.7,18.8,1861.2,801.9000000000001,2022,4,2
Toy SKU 12,2022-04-02,C,209,13.12,24.87,5197.83,2455.75,2022,4,2
Toy SKU 24,2022-04-03,A,105,12.41,30.54,3206.7,1903.6499999999999,2022,4,2
Toy SKU 17,2022-04-04,A,178,9.09,29.89,5320.42,3702.4,2022,4,2
Toy SKU 03,2022-04-05,A,45,5.63,31.93,1436.85,1183.5,2022,4,2
Toy SKU 23,2022-04-06,B,190,4.89,29.27,5561.3,4632.200000000001,2022,4,2
Toy SKU 20,2022-04-07,A,139,4.39,39.89,5544.71,4934.5,2022,4,2
Toy SKU 22,2022-04-08,C,37,13.57,35.43,1310.91,808.82,2022,4,2
Toy SKU 13,2022-04-09,B,102,11.85,40.22,4102.44,2893.74,2022,4,2
Toy SKU 24,2022-04-10,A,61,9.7,12.14,740.5400000000001,148.84000000000015,2022,4,2
Toy SKU 16,2022-04-11,B,43,9.43,27.89,1199.27,793.78,2022,4,2
Toy SKU 06,2022-04-12,B,106,8.99,34.21,3626.26,2673.32,2022,4,2
Toy SKU 28,2022-04-13,C,117,9.8,39.73,4648.41,3501.8099999999995,2022,4,2
Toy SKU 15,2022-04-14,C,33,4.73,11.89,392.37,236.28,2022,4,2
Toy SKU 15,2022-04-15,B,162,11.63,31.15,5046.3,3162.24,2022,4,2
Toy SKU 13,2022-04-16,C,78,12.93,34.16,2664.4799999999996,1655.9399999999996,2022,4,2
Toy SKU 20,2022-04-17,A,176,6.8,14.2,2499.2,1302.3999999999999,2022,4,2
Toy SKU 11,2022-04-18,C,39,13.33,23.45,914.55,394.67999999999995,2022,4,2
Toy SKU 23,2022-04-19,B,35,9.31,39.89,1396.15,1070.3000000000002,2022,4,2
Toy SKU 22,2022-04-20,B,173,8.53,21.42,3705.6600000000003,2229.9700000000003,2022,4,2
Toy SKU 20,2022-04-21,C,9,13.49,12.91,116.19,-5.219999999999999,2022,4,2
Toy SKU 22,2022-04-22,A,188,10.19,13.02,2447.7599999999998,532.04,2022,4,2
Toy SKU 15,2022-04-23,B,14,3.63,23.99,335.85999999999996,285.03999999999996,2022,4,2
Toy SKU 21,2022-04-24,C,182,6.6,24.13,4391.66,3190.46,2022,4,2
Toy SKU 10,2022-04-25,B,10,13.14,34.78,347.8,216.4,2022,4,2
Toy SKU 10,2022-04-26,B,31,13.97,38.01,1178.31,745.24,2022,4,2
Toy SKU 21,2022-04-27,A,172,4.62,41.97,7218.84,6424.2,2022,4,2
Toy SKU 26,2022-04-28,A,149,10.33,11.98,1785.02,245.8499999999999,2022,4,2
Toy SKU 21,2022-04-29,C,191,6.03,13.72,2620.52,1468.79,2022,4,2
Toy SKU 01,2022-04-30,C,172,5.58,39.05,6716.599999999999,5756.839999999999,2022,4,2
Toy SKU 09,2022-05-01,B,200,3.56,10.7,2140.0,1428.0,2022,5,2
Toy SKU 02,2022-05-02,C,136,11.92,16.87,2294.32,673.2000000000003,2022,5,2
Toy SKU 09,2022-05-03,C,59,11.91,39.62,2337.58,1634.8899999999999,2022,5,2
Toy SKU 02,2022-05-04,A,171,10.83,36.65,6267.15,4415.219999999999,2022,5,2
Toy SKU 14,2022-05-05,A,104,4.81,25.65,2667.6,2167.36,2022,5,2
Toy SKU 07,2022-05-06,B,165,10.12,37.09,6119.85,4450.05,2022,5,2
Toy SKU 14,2022-05-07,A,180,5.53,17.94,3229.2000000000003,2233.8,2022,5,2
Toy SKU 23,2022-05-08,A,158,13.79,29.18,4610.44,2431.62,2022,5,2
Toy SKU 16,2022-05-09,A,22,3.94,38.18,839.96,753.2800000000001,2022,5,2
Toy SKU 19,2022-05-10,B,158,5.32,12.03,1900.74,1060.1799999999998,2022,5,2
Toy SKU 24,2022-05-11,A,87,8.31,34.87,3033.6899999999996,2310.7199999999993,2022,5,2
Toy SKU 30,2022-05-12,A,142,9.51,13.79,1958.1799999999998,607.7599999999998,2022,5,2
Toy SKU 08,2022-05-13,C,122,9.57,32.09,3914.9800000000005,2747.4400000000005,2022,5,2
Toy SKU 10,2022-05-14,A,145,13.38,13.9,2015.5,75.39999999999986,2022,5,2
Toy SKU 14,2022-05-15,B,154,8.48,12.93,1991.22,685.3,2022,5,2
Toy SKU 13,2022-05-16,C,36,6.42,19.06,686.16,455.03999999999996,2022,5,2
Toy SKU 19,2022-05-17,B,174,10.16,22.59,3930.66,2162.8199999999997,2022,5,2
Toy SKU 19,2022-05-18,A,94,5.79,28.41,2670.54,2126.2799999999997,2022,5,2
Toy SKU 19,2022-05-19,A,203,7.89,24.65,5003.95,3402.2799999999997,2022,5,2
Toy SKU 02,2022-05-20,A,55,9.51,27.67,1521.8500000000001,998.8000000000002,2022,5,2
Toy SKU 18,2022-05-21,C,123,10.35,19.44,2391.1200000000003,1118.0700000000004,2022,5,2
Toy SKU 20,2022-05-22,A,174,9.27,23.24,4043.7599999999998,2430.7799999999997,2022,5,2
Toy SKU 16,2022-05-23,B,119,8.88,33.31,3963.8900000000003,2907.17,2022,5,2
Toy SKU 11,2022-05-24,B,195,13.17,25.62,4995.900000000001,2427.7500000000005,2022,5,2
Toy SKU 23,2022-05-25,B,64,6.8,36.63,2344.32,1909.1200000000001,2022,5,2
Toy SKU 24,2022-05-26,B,112,4.72,11.38,1274.5600000000002,745.9200000000002,2022,5,2
Toy SKU 27,2022-05-27,C,182,6.45,20.03,3645.46,2471.56,2022,5,2
Toy SKU 02,2022-05-28,B,44,6.8,33.51,1474.4399999999998,1175.2399999999998,2022,5,2
Toy SKU 28,2022-05-29,A,100,12.49,21.28,2128.0,879.0,2022,5,2
Toy SKU 25,2022-05-30,C,40,9.81,12.95,518.0,125.59999999999997,2022,5,2
Toy SKU 16,2022-05-31,B,114,13.95,34.48,3930.72,2340.42,2022,5,2
Toy SKU 29,2022-06-01,B,73,10.72,32.28,2356.44,1573.88,2022,6,2
Toy SKU 23,2022-06-02,B,204,3.61,15.9,3243.6,2507.16,2022,6,2
Toy SKU 20,2022-06-03,C,119,5.22,14.47,1721.93,1100.75,2022,6,2
Toy SKU 13,2022-06-04,C,203,9.34,36.69,7448.07,5552.049999999999,2022,6,2
Toy SKU 30,2022-06-05,C,217,4.99,23.79,5162.429999999999,4079.5999999999995,2022,6,2
Toy SKU 26,2022-06-06,B,77,11.43,23.31,1794.87,914.7599999999999,2022,6,2
Toy SKU 03,2022-06-07,B,107,5.08,14.97,1601.79,1058.23,2022,6,2
Toy SKU 08,2022-06-08,C,207,5.94,18.64,3858.48,2628.8999999999996,2022,6,2
Toy SKU 02,2022-06-09,A,111,9.66,25.28,2806.08,1733.82,2022,6,2
Toy SKU 01,2022-06-10,A,65,12.36,30.04,1952.6,1149.1999999999998,2022,6,2
Toy SKU 08,2022-06-11,B,145,10.54,34.18,4956.1,3427.8,2022,6,2
Toy SKU 19,2022-06-12,A,161,9.17,20.17,3247.3700000000003,1771.0000000000005,2022,6,2
Toy SKU 11,2022-06-13,C,187,8.57,34.36,6425.32,4822.73,2022,6,2
Toy SKU 21,2022-06-14,C,86,13.05,28.38,2440.68,1318.3799999999999,2022,6,2
Toy SKU 16,2022-06-15,A,188,7.08,25.46,4786.4800000000005,3455.4400000000005,2022,6,2
Toy SKU 26,2022-06-16,B,117,7.68,39.27,4594.59,3696.03,2022,6,2
Toy SKU 04,2022-06-17,B,141,5.36,20.18,2845.38,2089.62,2022,6,2
Toy SKU 10,2022-06-18,A,62,13.24,23.79,1474.98,654.1,2022,6,2
Toy SKU 01,2022-06-19,B,73,9.78,9.24,674.52,-39.41999999999996,2022,6,2
Toy SKU 13,2022-06-20,A,44,10.15,41.4,1821.6,1375.0,2022,6,2
Toy SKU 22,2022-06-21,C,139,8.51,34.13,4744.070000000001,3561.1800000000007,2022,6,2
Toy SKU 20,2022-06-22,C,117,13.61,34.81,4072.7700000000004,2480.4000000000005,2022,6,2
Toy SKU 22,2022-06-23,B,191,4.7,33.17,6335.47,5437.77,2022,6,2
Toy SKU 25,2022-06-24,B,145,10.37,41.0,5945.0,4441.35,2022,6,2
Toy SKU 17,2022-06-25,A,216,6.53,33.21,7173.360000000001,5762.880000000001,2022,6,2
Toy SKU 30,2022-06-26,C,143,4.8,10.35,1480.05,793.65,2022,6,2
Toy SKU 11,2022-06-27,B,172,8.64,41.52,7141.4400000000005,5655.360000000001,2022,6,2
Toy SKU 26,2022-06-28,B,76,7.82,35.19,2674.4399999999996,2080.1199999999994,2022,6,2
Toy SKU 30,2022-06-29,B,25,9.33,35.47,886.75,653.5,2022,6,2
Toy SKU 08,2022-06-30,C,102,3.89,21.3,2172.6,1775.82,2022,6,2
Toy SKU 25,2022-07-01,C,18,4.65,31.29,563.22,479.52000000000004,2022,7,3
Toy SKU 23,2022-07-02,C,147,12.59,33.4,4909.8,3059.07,2022,7,3
Toy SKU 24,2022-07-03,B,177,4.01,16.74,2962.9799999999996,2253.2099999999996,2022,7,3
Toy SKU 04,2022-07-04,B,57,3.55,25.98,1480.8600000000001,1278.5100000000002,2022,7,3
Toy SKU 26,2022-07-05,A,151,3.81,22.24,3358.24,2782.93,2022,7,3
Toy SKU 21,2022-07-06,C,137,6.0,37.14,5088.18,4266.18,2022,7,3
Toy SKU 21,2022-07-07,B,81,12.46,18.87,1528.47,519.2099999999999,2022,7,3
Toy SKU 22,2022-07-08,B,103,6.39,38.26,3940.7799999999997,3282.6099999999997,2022,7,3
Toy SKU 12,2022-07-09,C,47,4.39,20.28,953.1600000000001,746.8300000000002,2022,7,3
Toy SKU 14,2022-07-10,C,98,13.99,18.78,1840.44,469.4200000000001,2022,7,3
Toy SKU 25,2022-07-11,C,94,4.94,27.97,2629.18,2164.8199999999997,2022,7,3
Toy SKU 06,2022-07-12,C,189,9.75,21.95,4148.55,2305.8,2022,7,3
Toy SKU 22,2022-07-13,B,202,8.72,13.43,2712.86,951.4200000000001,2022,7,3
Toy SKU 04,2022-07-14,B,25,5.62,9.58,239.5,99.0,2022,7,3
Toy SKU 03,2022-07-15,A,104,10.16,20.33,2114.3199999999997,1057.6799999999996,2022,7,3
Toy SKU 14,2022-07-16,B,196,11.4,26.85,5262.6,3028.2000000000003,2022,7,3
Toy SKU 29,2022-07-17,C,68,12.92,16.76,1139.68,261.1200000000001,2022,7,3
Toy SKU 17,2022-07-18,A,196,9.06,33.5,6566.0,4790.24,2022,7,3
Toy SKU 28,2022-07-19,A,133,10.36,18.88,2511.04,1133.16,2022,7,3
Toy SKU 26,2022-07-20,A,71,5.13,37.85,2687.35,2323.12,2022,7,3
Toy SKU 10,2022-07-21,A,68,9.4,35.14,2389.52,1750.32,2022,7,3
Toy SKU 18,2022-07-22,C,142,8.5,41.83,5939.86,4732.86,2022,7,3
Toy SKU 14,2022-07-23,B,151,12.05,38.78,5855.78,4036.2299999999996,2022,7,3
Toy SKU 09,2022-07-24,C,107,9.4,12.36,1322.52,316.7199999999999,2022,7,3
Toy SKU 06,2022-07-25,B,146,13.53,25.92,3784.32,1808.9400000000003,2022,7,3
Toy SKU 29,2022-07-26,B,37,13.58,12.4,458.8,-43.65999999999997,2022,7,3
Toy SKU 02,2022-07-27,A,16,6.08,11.16,178.56,81.28,2022,7,3
Toy SKU 30,2022-07-28,B,63,6.78,10.68,672.84,245.7,2022,7,3
Toy SKU 16,2022-07-29,C,31,7.54,11.0,341.0,107.25999999999999,2022,7,3
Toy SKU 27,2022-07-30,C,103,6.67,22.01,2267.03,1580.0200000000002,2022,7,3
Toy SKU 07,2022-07-31,A,96,3.52,12.7,1219.1999999999998,881.2799999999997,2022,7,3
Toy SKU 13,2022-08-01,C,42,8.84,25.15,1056.3,685.02,2022,8,3
Toy SKU 01,2022-08-02,A,78,8.03,34.76,2711.2799999999997,2084.9399999999996,2022,8,3
Toy SKU 15,2022-08-03,C,120,6.89,17.0,2040.0,1213.2,2022,8,3
Toy SKU 08,2022-08-04,C,109,10.67,16.53,1801.7700000000002,638.7400000000002,2022,8,3
Toy SKU 23,2022-08-05,A,60,4.01,24.21,1452.6000000000001,1212.0000000000002,2022,8,3
Toy SKU 28,2022-08-06,C,158,5.08,10.56,1668.48,865.84,2022,8,3
Toy SKU 10,2022-08-07,A,12,3.6,15.21,182.52,139.32,2022,8,3
Toy SKU 28,2022-08-08,C,14,4.66,29.46,412.44,347.2,2022,8,3
Toy SKU 15,2022-08-09,A,26,9.7,37.03,962.78,710.5799999999999,2022,8,3
Toy SKU 18,2022-08-10,B,9,12.46,29.43,264.87,152.73,2022,8,3
Toy SKU 14,2022-08-11,A,198,12.48,17.39,3443.2200000000003,972.1800000000003,2022,8,3
Toy SKU 24,2022-08-12,A,202,8.27,28.91,5839.82,4169.28,2022,8,3
Toy SKU 28,2022-08-13,C,24,12.04,19.51,468.24,179.28000000000003,2022,8,3
Toy SKU 11,2022-08-14,B,177,9.81,16.14,2856.78,1120.41,2022,8,3
Toy SKU 16,2022-08-15,B,142,4.32,9.98,1417.16,803.72,2022,8,3
Toy SKU 10,2022-08-16,C,81,3.7,14.46,1171.26,871.56,2022,8,3
Toy SKU 20,2022-08-17,C,187,11.26,19.47,3640.89,1535.27,2022,8,3
Toy SKU 22,2022-08-18,A,196,9.74,13.16,2579.36,670.3200000000002,2022,8,3
Toy SKU 24,2022-08-19,A,150,5.32,25.74,3860.9999999999995,3062.9999999999995,2022,8,3
Toy SKU 21,2022-08-20,A,218,3.54,9.55,2081.9,1310.18,2022,8,3
Toy SKU 17,2022-08-21,C,130,4.83,38.61,5019.3,4391.400000000001,2022,8,3
Toy SKU 18,2022-08-22,A,194,9.13,29.52,5726.88,3955.66,2022,8,3
Toy SKU 06,2022-08-23,A,160,9.74,18.73,2996.8,1438.4,2022,8,3
Toy SKU 02,2022-08-24,B,148,12.28,9.6,1420.8,-396.6399999999999,2022,8,3
Toy SKU 02,2022-08-25,B,41,12.68,17.37,712.1700000000001,192.29000000000008,2022,8,3
Toy SKU 07,2022-08-26,B,137,9.31,22.07,3023.59,1748.1200000000001,2022,8,3
Toy SKU 23,2022-08-27,C,120,9.45,34.03,4083.6000000000004,2949.6000000000004,2022,8,3
Toy SKU 22,2022-08-28,C,216,7.9,25.98,5611.68,3905.28,2022,8,3
Toy SKU 29,2022-08-29,A,15,8.96,22.46,336.90000000000003,202.50000000000003,2022,8,3
Toy SKU 24,2022-08-30,C,27,12.84,22.04,595.0799999999999,248.39999999999992,2022,8,3
Toy SKU 05,2022-08-31,C,107,13.6,14.89,1593.23,138.02999999999997,2022,8,3
Toy SKU 05,2022-09-01,C,50,12.52,39.12,1955.9999999999998,1329.9999999999998,2022,9,3
Toy SKU 08,2022-09-02,A,80,11.2,37.99,3039.2000000000003,2143.2000000000003,2022,9,3
Toy SKU 15,2022-09-03,B,88,8.93,33.48,2946.24,2160.3999999999996,2022,9,3
Toy SKU 20,2022-09-04,C,121,9.48,12.45,1506.4499999999998,359.36999999999966,2022,9,3
Toy SKU 24,2022-09-05,C,199,12.59,35.34,7032.660000000001,4527.250000000001,2022,9,3
Toy SKU 16,2022-09-06,A,8,11.31,9.76,78.08,-12.400000000000006,2022,9,3
Toy SKU 07,2022-09-07,A,215,7.46,32.74,7039.1,5435.200000000001,2022,9,3
Toy SKU 28,2022-09-08,C,141,6.85,29.09,4101.69,3135.8399999999997,2022,9,3
Toy SKU 12,2022-09-09,B,131,7.8,28.86,3780.66,2758.8599999999997,2022,9,3
Toy SKU 18,2022-09-10,C,114,5.57,21.45,2445.2999999999997,1810.3199999999997,2022,9,3
Toy SKU 15,2022-09-11,B,91,4.88,14.37,1307.6699999999998,863.5899999999999,2022,9,3
Toy SKU 10,2022-09-12,C,17,13.53,17.04,289.68,59.670000000000016,2022,9,3
Toy SKU 11,2022-09-13,A,28,11.41,38.07,1065.96,746.48,2022,9,3
Toy SKU 11,2022-09-14,A,109,5.45,26.23,2859.07,2265.02,2022,9,3
Toy SKU 07,2022-09-15,A,107,6.22,10.49,1122.43,456.8900000000001,2022,9,3
Toy SKU 01,2022-09-16,B,27,10.35,25.35,684.45,405.00000000000006,2022,9,3
Toy SKU 29,2022-09-17,C,31,6.15,18.73,580.63,389.98,2022,9,3
Toy SKU 10,2022-09-18,C,71,12.97,41.49,2945.79,2024.92,2022,9,3
Toy SKU 27,2022-09-19,B,216,13.51,11.37,2455.9199999999996,-462.24000000000024,2022,9,3
Toy SKU 13,2022-09-20,A,207,9.31,12.2,2525.3999999999996,598.2299999999996,2022,9,3
Toy SKU 10,2022-09-21,C,187,9.98,26.9,5030.3,3164.04,2022,9,3
Toy SKU 16,2022-09-22,A,25,5.18,37.11,927.75,798.25,2022,9,3
Toy SKU 08,2022-09-23,B,131,11.22,18.77,2458.87,989.0499999999997,2022,9,3
Toy SKU 26,2022-09-24,B,185,11.48,34.49,6380.650000000001,4256.85,2022,9,3
Toy SKU 13,2022-09-25,A,51,13.39,12.98,661.98,-20.909999999999968,2022,9,3
Toy SKU 07,2022-09-26,C,162,6.28,36.93,5982.66,4965.3,2022,9,3
Toy SKU 04,2022-09-27,B,46,7.84,23.85,1097.1000000000001,736.4600000000002,2022,9,3
Toy SKU 06,2022-09-28,A,194,12.44,37.86,7344.84,4931.48,2022,9,3
Toy SKU 22,2022-09-29,C,79,9.07,17.2,1358.8,642.27,2022,9,3
Toy SKU 10,2022-09-30,A,70,13.37,38.3,2681.0,1745.1,2022,9,3
Toy SKU 05,2022-10-01,A,172,8.94,25.19,4332.68,2795.0000000000005,2022,10,4
Toy SKU 14,2022-10-02,B,91,8.06,13.35,1214.85,481.3899999999999,2022,10,4
Toy SKU 17,2022-10-03,B,34,13.5,24.91,846.94,387.94000000000005,2022,10,4
Toy SKU 26,2022-10-04,C,39,9.32,15.85,618.15,254.66999999999996,2022,10,4
Toy SKU 05,2022-10-05,A,61,3.82,12.93,788.73,555.71,2022,10,4
Toy SKU 05,2022-10-06,C,8,9.89,24.35,194.8,115.68,2022,10,4
Toy SKU 10,2022-10-07,C,92,9.08,15.18,1396.56,561.1999999999999,2022,10,4
Toy SKU 26,2022-10-08,C,38,11.29,24.47,929.8599999999999,500.8399999999999,2022,10,4
Toy SKU 25,2022-10-09,C,40,13.17,20.27,810.8,284.0,2022,10,4
Toy SKU 17,2022-10-10,A,205,11.84,29.55,6057.75,3630.55,2022,10,4
Toy SKU 11,2022-10-11,A,167,11.83,15.99,2670.33,694.72,2022,10,4
Toy SKU 07,2022-10-12,C,120,10.21,9.08,1089.6,-135.60000000000014,2022,10,4
Toy SKU 14,2022-10-13,B,218,6.45,11.05,2408.9,1002.8,2022,10,4
Toy SKU 12,2022-10-14,B,177,5.1,29.87,5286.99,4384.29,2022,10,4
Toy SKU 04,2022-10-15,B,91,13.18,19.53,1777.23,577.8500000000001,2022,10,4
Toy SKU 13,2022-10-16,C,160,10.43,28.79,4606.4,2937.5999999999995,2022,10,4
Toy SKU 14,2022-10-17,A,108,13.48,20.31,2193.48,737.6399999999999,2022,10,4
Toy SKU 17,2022-10-18,A,27,12.38,10.33,278.91,-55.35000000000002,2022,10,4
